"","StationID","Latitude","Longitude","Sta_Desc","US_L3CODE","US_L3NAME","US_L4CODE","US_L4NAME","VAHU6","ASSESS_REG","OFFICE_NM","VaName","Tidal","VAHUSB","FedName","HUC10","Basin","BASIN_CODE","Basin_Code","CountyCityName","FIPS"
"13","4AALN024.60",36.78583333,-78.38305556,"ALLEN CREEK, RT. 680 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RL10","BRRO","Blue Ridge","Allen Creek-Layton Creek","N","RL","Layton Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"14","4ABAN001.86",36.71666667,-78.80472222,"BANISTER R., RT 716 WOLFTRAP RD","45","Piedmont","45c","Carolina Slate Belt","RD67","BRRO","Blue Ridge","Banister River-John H Kerr Reservoir-Winn Creek","N","RD","Winn Creek-Banister River","0301010504","Roanoke River Basin","4A","Roanoke","Halifax","083"
"15","4ADAN000.00",36.69166667,-78.64916667,"MOUTH OF DAN RIVER","45","Piedmont","45c","Carolina Slate Belt","RD77","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Buffalo Creek","N","RD","Buffalo Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Halifax","083"
"16","4ADAN000.87",36.68944444,-78.665,"STA #28D - DAN ARM OF KERR RESERVOIR","45","Piedmont","45c","Carolina Slate Belt","RD76","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Peter Creek","N","RD","Peter Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Halifax","083"
"17","4ADAN001.18",36.69036111,-78.6693,"Dan River/Kerr Reservoir near State Park","45","Piedmont","45c","Carolina Slate Belt","RD76","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Peter Creek","N","RD","Peter Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Halifax","083"
"18","4ADAN004.50",36.68638889,-78.72805556,"KERR RESERVOIR AT MOUTH OF HYCO RIVER","45","Piedmont","45c","Carolina Slate Belt","RD76","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Peter Creek","N","RD","Peter Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Halifax","083"
"19","4ADAN009.93",36.69083333,-78.77569444,"DAN RIVER AT MOUTH OF GRASSY CREEK(HALIF","45","Piedmont","45c","Carolina Slate Belt","RD76","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Peter Creek","N","RD","Peter Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Halifax","083"
"20","4AGIB000.66",36.7175,-78.8,"Gibson Cr @ Wolftrap Rd.","45","Piedmont","45c","Carolina Slate Belt","RD67","BRRO","Blue Ridge","Banister River-John H Kerr Reservoir-Winn Creek","N","RD","Winn Creek-Banister River","0301010504","Roanoke River Basin","4A","Roanoke","Halifax","083"
"21","4AGOO000.50",36.67477778,-78.56213889,"RT. 49 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RU93","BRRO","Blue Ridge","Bluestone Creek-Goodell Creek","N","RU","Goodell Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"22","4AGRA000.00",36.57333333,-78.49277778,"MOUTH OF GRASSY CREEK","45","Piedmont","45c","Carolina Slate Belt","RL04","BRRO","Blue Ridge","Grassy Creek/John H Kerr Reservoir-Beaver Pond Creek South","N","RL","Beaver Pond Creek South-Grassy Creek","0301010208","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"23","4AGRA003.22",36.56861111,-78.54527778,"STA #18GR AT RT.15,3.5 MI ABOVE MOUTH ME","45","Piedmont","45c","Carolina Slate Belt","RL04","BRRO","Blue Ridge","Grassy Creek/John H Kerr Reservoir-Beaver Pond Creek South","N","RL","Beaver Pond Creek South-Grassy Creek","0301010208","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"24","4AGRA003.29",36.5725,-78.54972222,"Boatramp upstream of Rt. 15","45","Piedmont","45c","Carolina Slate Belt","RL03","BRRO","Blue Ridge","Grassy Creek/John H Kerr Reservoir-Beaver Pond Creek North","N","RL","Beaver Pond Creek North-Grassy Creek","0301010208","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"25","4AGSY001.30",36.6764,-78.82678056,"Grassy @ rt 58","45","Piedmont","45c","Carolina Slate Belt","RD51","BRRO","Blue Ridge","Dan River-John H Kerr Reservoir-Grassy Creek","N","RD","Grassy Creek-Dan River","0301010404","Roanoke River Basin","4A","Roanoke","Halifax","083"
"26","4AHEN002.16",36.90698056,-78.65240278,"HORSEPEN CREEK, RT. 637 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RU85","BRRO","Blue Ridge","Horsepen Creek","N","RU","Horsepen Creek","0301010205","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"27","4AHEN004.27",36.92638889,-78.63611111,"Horsepen Cr @ rt 612","45","Piedmont","45c","Carolina Slate Belt","RU85","BRRO","Blue Ridge","Horsepen Creek","N","RU","Horsepen Creek","0301010205","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"28","4AHEN004.74",36.93116389,-78.63399722,"above Rt. 612, Charlotte Co.","45","Piedmont","45c","Carolina Slate Belt","RU85","BRRO","Blue Ridge","Horsepen Creek","N","RU","Horsepen Creek","0301010205","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"29","4ADEV000.64",36.849,-78.53697222,"Devils Br S of Rt 603","45","Piedmont","45c","Carolina Slate Belt","RU91","BRRO","Blue Ridge","Bluestone Creek-Otter Creek","N","RU","Otter Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"30","4ADEV000.86",36.85036667,-78.53393333,"devils br at rt 603","45","Piedmont","45c","Carolina Slate Belt","RU91","BRRO","Blue Ridge","Bluestone Creek-Otter Creek","N","RU","Otter Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"31","4ADFF002.02",36.75388889,-78.70777778,"RT. 716 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RU89","BRRO","Blue Ridge","Difficult Creek-Ashcake Creek","N","RU","Ashcake Creek-Difficult Creek","0301010206","Roanoke River Basin","4A","Roanoke","Halifax","083"
"32","4ADFF004.90",36.77833333,-78.72861111,"Difficult Cr. @ Rt. 720, DSS Brian Farm","45","Piedmont","45c","Carolina Slate Belt","RU89","BRRO","Blue Ridge","Difficult Creek-Ashcake Creek","N","RU","Ashcake Creek-Difficult Creek","0301010206","Roanoke River Basin","4A","Roanoke","Halifax","083"
"33","4ADFF006.59",36.78361111,-78.75472222,"DIFFICULT CR-BTWN RTS 720 & 721","45","Piedmont","45c","Carolina Slate Belt","RU88","BRRO","Blue Ridge","Difficult Creek-Piney Creek","N","RU","Piney Creek-Difficult Creek","0301010206","Roanoke River Basin","4A","Roanoke","Halifax","083"
"34","4AEAS000.00",36.60666667,-78.38,"MOUTH OF EASTLAND CREEK","45","Piedmont","45c","Carolina Slate Belt","RL09","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Eastland Creek","N","RL","Eastland Creek-John H Kerr Reservoir","0301010210","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"35","4AEAS001.20",36.62416667,-78.37805556,"STA #9EA - EASTLAND CREEK, 2MI. ABOVE MO","45","Piedmont","45c","Carolina Slate Belt","RL09","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Eastland Creek","N","RL","Eastland Creek-John H Kerr Reservoir","0301010210","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"36","4AEAS002.40",36.63583333,-78.3875,"UPPER EATLAND CREEK - KERR RESERVOIR","45","Piedmont","45c","Carolina Slate Belt","RL09","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Eastland Creek","N","RL","Eastland Creek-John H Kerr Reservoir","0301010210","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"37","4ABEE000.80",36.54361111,-78.62444444,"RT. 727 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RL01","BRRO","Blue Ridge","Johnson Creek-John H Kerr Reservoir","N","RL","Beech Creek-Johnson Creek","0301010208","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"38","4ABEE001.20",36.54342222,-78.63228889,"Beech Cr btwn winston & henrico rds","45","Piedmont","45c","Carolina Slate Belt","RL01","BRRO","Blue Ridge","Johnson Creek-John H Kerr Reservoir","N","RL","Beech Creek-Johnson Creek","0301010208","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"39","4ABHB000.00",36.59944444,-78.43472222,"MOUTH OF BUTCHER CREEK","45","Piedmont","45c","Carolina Slate Belt","RL07","BRRO","Blue Ridge","Butcher Creek/John H Kerr Reservoir","N","RL","Butcher Creek","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"40","4ABHB001.90",36.62472222,-78.44277778,"STA #B-12 KERR RESERVOIR BUOY 12 2MI.ABO","45","Piedmont","45c","Carolina Slate Belt","RL07","BRRO","Blue Ridge","Butcher Creek/John H Kerr Reservoir","N","RL","Butcher Creek","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"41","4ABHB004.40",36.64922222,-78.44127778,"S of Rt. 58, Rudd Branch Confluence","45","Piedmont","45c","Carolina Slate Belt","RL07","BRRO","Blue Ridge","Butcher Creek/John H Kerr Reservoir","N","RL","Butcher Creek","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"42","4ABHB008.63",36.69916667,-78.45805556,"BUTCHERS CREEK, RT. 677 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RL07","BRRO","Blue Ridge","Butcher Creek/John H Kerr Reservoir","N","RL","Butcher Creek","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"43","4ABHB013.93",36.7525,-78.4378,"BUTCHER CR @ Rt. 92 BR","45","Piedmont","45c","Carolina Slate Belt","RL07","BRRO","Blue Ridge","Butcher Creek/John H Kerr Reservoir","N","RL","Butcher Creek","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"44","4ABLE000.00",36.62166667,-78.5475,"MOUTH OF BLUE CREEK","45","Piedmont","45c","Carolina Slate Belt","RL06","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Panhandle Creek","N","RL","Panhandle Creek-John H Kerr Reservoir","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"45","4ABLE001.21",36.84388889,-78.62055556,"Berles Cr. @ Rt. 631, DSS Vaughan Farm","45","Piedmont","45c","Carolina Slate Belt","RU87","BRRO","Blue Ridge","Roanoke River-John H Kerr Reservoir-Buffalo Creek","N","RU","Sandy Creek-Roanoke River","0301010206","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"46","4ABLU002.02",36.60361111,-78.82555555,"Big Bluewing Cr @ Rt. 602","45","Piedmont","45c","Carolina Slate Belt","RD73","BRRO","Blue Ridge","Big Bluewing Creek","N","RD","Big Bluewing Creek","0301010406","Roanoke River Basin","4A","Roanoke","Halifax","083"
"47","4ABMA000.00",36.65916667,-78.62138889,"MOUTH OF BUFFALO CREEK","45","Piedmont","45c","Carolina Slate Belt","RD77","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Buffalo Creek","N","RD","Buffalo Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"48","4ABMA000.80",36.65583333,-78.63361111,"STA. #25BM, BUFFALO CREEK, 1MI. ABOVE MO","45","Piedmont","45c","Carolina Slate Belt","RD77","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Buffalo Creek","N","RD","Buffalo Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"49","4ABMA002.00",36.64027778,-78.64861111,"RT. 58 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RD77","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Buffalo Creek","N","RD","Buffalo Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"50","4ABMA005.64",36.60051944,-78.66453889,"Buffalo Ck upstrm of Hicks Sp Br Rte 735","45","Piedmont","45c","Carolina Slate Belt","RD77","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Buffalo Creek","N","RD","Buffalo Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"51","4ABMA006.65",36.587667,-78.664539,"Buffalo Ck @ Overby Rd","45","Piedmont","45c","Carolina Slate Belt","RD77","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Buffalo Creek","N","RD","Buffalo Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"52","4ABMN000.65",36.57458889,-78.73965833,"Big Mountain Br @ 606 Rice School Rd","45","Piedmont","45c","Carolina Slate Belt","RD75","BRRO","Blue Ridge","Aarons Creek-John H Kerr Reservoir","N","RD","Aarons Creek-John H Kerr Reservoir","0301010407","Roanoke River Basin","4A","Roanoke","Halifax","083"
"53","4ABNN001.85",36.80083333,-78.64305556,"Buffalo Creek @Rt. 608","45","Piedmont","45c","Carolina Slate Belt","RU87","BRRO","Blue Ridge","Roanoke River-John H Kerr Reservoir-Buffalo Creek","N","RU","Sandy Creek-Roanoke River","0301010206","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"54","4ABNN002.17",36.79988889,-78.63827778,"Buffalo Creek upstream of 608","45","Piedmont","45c","Carolina Slate Belt","RU87","BRRO","Blue Ridge","Roanoke River-John H Kerr Reservoir-Buffalo Creek","N","RU","Sandy Creek-Roanoke River","0301010206","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"55","4ABPC003.14",36.59388889,-78.57944444,"Shiney Rock Road (Rt. 723)","45","Piedmont","45c","Carolina Slate Belt","RL03","BRRO","Blue Ridge","Grassy Creek/John H Kerr Reservoir-Beaver Pond Creek North","N","RL","Beaver Pond Creek North-Grassy Creek","0301010208","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"56","4ABST001.13",36.66416667,-78.57194444,"STA 324 BL - RT. 15 BRIDGE KERR RESERVOI","45","Piedmont","45c","Carolina Slate Belt","RU93","BRRO","Blue Ridge","Bluestone Creek-Goodell Creek","N","RU","Goodell Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"57","4ABST005.90",36.71047222,-78.60441667,"RT. 640 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RU91","BRRO","Blue Ridge","Bluestone Creek-Otter Creek","N","RU","Otter Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"58","4ABST009.35",36.73027778,-78.61666667,"BLUESTONE CREEK, RT. 699 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RU91","BRRO","Blue Ridge","Bluestone Creek-Otter Creek","N","RU","Otter Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"59","4ABST009.45",36.73188889,-78.617,"Bluestone Creek just upstream of Rte 699","45","Piedmont","45c","Carolina Slate Belt","RU91","BRRO","Blue Ridge","Bluestone Creek-Otter Creek","N","RU","Otter Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"60","4ABST013.64",36.77497222,-78.58883333,"Bluestone Ck @ Rte. 605","45","Piedmont","45c","Carolina Slate Belt","RU91","BRRO","Blue Ridge","Bluestone Creek-Otter Creek","N","RU","Otter Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"61","4ABST014.94",36.785,-78.58416667,"BLUESTONE CR UPSTR OF 605","45","Piedmont","45c","Carolina Slate Belt","RU91","BRRO","Blue Ridge","Bluestone Creek-Otter Creek","N","RU","Otter Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"62","4ABST017.09",36.81083333,-78.57722222,"Bluestone Creek @ Rt 92(E of Barnes Jct)","45","Piedmont","45c","Carolina Slate Belt","RU91","BRRO","Blue Ridge","Bluestone Creek-Otter Creek","N","RU","Otter Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"63","4ACAR001.70",36.73861111,-78.65444445,"Cargills @ Cargills Creek Rd","45","Piedmont","45c","Carolina Slate Belt","RU90","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Cargills Creek","N","RU","Cargills Creek-Roanoke River","0301010206","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"64","4ACOR003.12",36.6675,-78.36888889,,"45","Piedmont","45c","Carolina Slate Belt","RL11","BRRO","Blue Ridge","Allen Creek-Cox Creek","N","RL","Cox Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"65","4AHYC002.70",36.66755556,-78.75541667,"RT. 58 BRIDGE NEAR ENTRANCE TO KERR LAKE","45","Piedmont","45c","Carolina Slate Belt","RD74","BRRO","Blue Ridge","Hyco River/John H Kerr Reservoir-Larkin Branch","N","RD","Larkin Branch-Hyco River","0301010406","Roanoke River Basin","4A","Roanoke","Halifax","083"
"66","4AIND000.00",36.57277778,-78.46638889,"MOUTH OF ISLAND CREEK","45","Piedmont","45c","Carolina Slate Belt","RL06","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Panhandle Creek","N","RL","Panhandle Creek-John H Kerr Reservoir","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"67","4AIND001.39",36.555,-78.46833333,"STA #14IS ISLAND CREEK 1MI. ABOVE MOUTH","45","Piedmont","45c","Carolina Slate Belt","RL05","BRRO","Blue Ridge","Island Creek/John H Kerr Reservoir","N","RL","Island Creek","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"68","4AJHB001.34",36.68388889,-78.39944444,"Jolly Hollow Br W of 92 N of Boydton","45","Piedmont","45c","Carolina Slate Belt","RL11","BRRO","Blue Ridge","Allen Creek-Cox Creek","N","RL","Cox Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"69","4ALAR000.00",36.63610833,-78.80662778,"Larkin Br hike to just upstrm of Hyco R","45","Piedmont","45c","Carolina Slate Belt","RD74","BRRO","Blue Ridge","Hyco River/John H Kerr Reservoir-Larkin Branch","N","RD","Larkin Branch-Hyco River","0301010406","Roanoke River Basin","4A","Roanoke","Halifax","083"
"70","4ALET001.50",36.75305556,-78.31944444,"LET ALONE CREEK, RT. 670 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RL10","BRRO","Blue Ridge","Allen Creek-Layton Creek","N","RL","Layton Creek-Allen Creek","0301010601","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"71","4ALFF001.85",36.62638889,-78.62888889,"LITTLE BUFFALO CREEK, RT 58 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RD77","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Buffalo Creek","N","RD","Buffalo Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"72","4ALFF001.86",36.62583333,-78.62888889,"Little Buff CR- upstream of outfall","45","Piedmont","45c","Carolina Slate Belt","RD77","BRRO","Blue Ridge","Dan River/John H Kerr Reservoir-Buffalo Creek","N","RD","Buffalo Creek-Dan River","0301010407","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"73","4ALNE000.90",36.69930556,-78.57666667,"RT. 763","45","Piedmont","45c","Carolina Slate Belt","RU92","BRRO","Blue Ridge","Little Bluestone Creek","N","RU","Little Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"74","4ALNE006.56",36.73111111,-78.53861111,"RT. 49 BRIDGE, lil bluestone cr","45","Piedmont","45c","Carolina Slate Belt","RU92","BRRO","Blue Ridge","Little Bluestone Creek","N","RU","Little Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"75","4ALNE013.64",36.77688889,-78.47727778,"150m downstr. Chase City WWTP outfall","45","Piedmont","45c","Carolina Slate Belt","RU92","BRRO","Blue Ridge","Little Bluestone Creek","N","RU","Little Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"76","4ALNE013.84",36.77877778,-78.47466667,"150m upstrm of Chase City WWTP outfall","45","Piedmont","45c","Carolina Slate Belt","RU92","BRRO","Blue Ridge","Little Bluestone Creek","N","RU","Little Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"77","4APOP000.10",36.69019444,-78.52188889,"Popes Ck E of 845 S of 698","45","Piedmont","45c","Carolina Slate Belt","RU93","BRRO","Blue Ridge","Bluestone Creek-Goodell Creek","N","RU","Goodell Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"78","4APOP000.85",36.69503611,-78.513175,"Popes Ck @ Rte 698 Middle School Rd","45","Piedmont","45c","Carolina Slate Belt","RU93","BRRO","Blue Ridge","Bluestone Creek-Goodell Creek","N","RU","Goodell Creek-Bluestone Creek","0301010207","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"79","4ARES001.30",36.97916667,-78.53805556,"reeses creek @ unnamed rd N of rte 623","45","Piedmont","45c","Carolina Slate Belt","RU84","BRRO","Blue Ridge","Twittys Creek","N","RU","Twittys Creek","0301010205","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"80","4ARUD000.40",36.65693611,-78.44561111,"RT. 58 BRIDGE","45","Piedmont","45c","Carolina Slate Belt","RL07","BRRO","Blue Ridge","Butcher Creek/John H Kerr Reservoir","N","RL","Butcher Creek","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"81","4ASLA001.52",36.8425,-78.64166667,"Sandy Creek @ Rt. 608","45","Piedmont","45c","Carolina Slate Belt","RU87","BRRO","Blue Ridge","Roanoke River-John H Kerr Reservoir-Buffalo Creek","N","RU","Sandy Creek-Roanoke River","0301010206","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"82","4ASLA002.69",36.84916667,-78.62861111,"Sandy Cr. @ Rt. 607","45","Piedmont","45c","Carolina Slate Belt","RU87","BRRO","Blue Ridge","Roanoke River-John H Kerr Reservoir-Buffalo Creek","N","RU","Sandy Creek-Roanoke River","0301010206","Roanoke River Basin","4A","Roanoke","Charlotte","037"
"83","4AROA028.04",36.59361111,-78.42611111,"STA #B-9 KERR RESERVOIR - BUOY 9 MECKLEN","45","Piedmont","45c","Carolina Slate Belt","RL09","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Eastland Creek","N","RL","Eastland Creek-John H Kerr Reservoir","0301010210","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"84","4AROA030.43",36.58108333,-78.45919444,"KERR RESERVOIR AT BUOY 11","45","Piedmont","45c","Carolina Slate Belt","RL06","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Panhandle Creek","N","RL","Panhandle Creek-John H Kerr Reservoir","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"85","4AROA032.42",36.57666667,-78.48611111,"STA #B-14 - BUOY 14 KERR RESERVOIR MECKL","45","Piedmont","45c","Carolina Slate Belt","RL06","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Panhandle Creek","N","RL","Panhandle Creek-John H Kerr Reservoir","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
"86","4AROA034.41",36.60066667,-78.48680555,"BUOY 16","45","Piedmont","45c","Carolina Slate Belt","RL06","BRRO","Blue Ridge","Roanoke River/John H Kerr Reservoir-Panhandle Creek","N","RL","Panhandle Creek-John H Kerr Reservoir","0301010209","Roanoke River Basin","4A","Roanoke","Mecklenburg","117"
